user_id,typing_speed,click_rate,mouse_speed,typing_consistency,activity_ratio,typing_dev,click_dev,typing_z,click_z,drift_score,label,ae_score
15,195.5550614380215,1.821896320059251,395.97701747022177,7.987493908186405,20.16468286394924,5.591150525466674,0.7536983291085384,0.1080139652179804,0.4298887585447783,0.2689513618813794,0.0,0.12474016863640122
4,177.84572520600054,3.087701747921151,437.7273769071494,8.233950570024387,10.505403702746175,10.623637213190191,0.0700464884865157,0.1886807475958994,0.0744794105153932,0.1315800790556463,0.0,0.0761839583187704
10,206.50464623694504,2.794889978214943,387.6793974115692,9.718798164461452,12.5658923216015,11.019731449442048,0.4509957140808205,0.2520366155088946,0.3084030535332308,0.2802198345210627,0.0,0.05004200088772655
15,210.56924186912985,1.4833237027735895,372.8704690739633,9.561327166424478,15.23152642855424,9.42302990564167,1.0922709463942,0.1820410342808675,0.6230012499766511,0.4025211421287593,0.0,0.34154992372686227
0,200.1479095812564,3.3537789991621683,893.3189736203848,65.27223747105296,5.430281848206297,1.24755070916936,0.0610196997022938,0.0246499934190149,0.0381364306048301,0.0313932120119225,1.0,96.65535809091367
14,363.6898507650526,7.469977461591782,290.5411052014778,5.984866051927164,4.967588291019923,164.5434397684722,4.2807874853039225,3.0703546019466983,3.0674854904665616,3.06892004620663,1.0,18.5874430765116
13,177.75107415830675,2.1456617991484443,480.8425242350983,7.976779960120772,21.19319150071836,4.841207677515996,0.7673962818496207,0.1047807808767233,0.4770644410191786,0.290922610947951,0.0,0.016997793476539805
8,220.85185386848573,3.2466512775518668,410.1904155813255,6.7011414944615835,16.71419563272567,13.230130672361357,0.099572245244857,0.2814455058362468,0.093056209109806,0.1872508574730264,0.0,0.2210183016881155
15,200.88191308228977,1.8931928499217925,362.1738141093204,8.057091393606797,20.770252293209033,0.2642988811984139,0.682401799245997,0.0051059205132979,0.3892231825079965,0.1971645515106472,0.0,0.10201649819385357
10,184.87170644211653,2.9349080323063697,427.43149331575415,9.911489528751591,11.678483576607864,10.613208345386454,0.3109776599893936,0.2427388655825541,0.2126549253728848,0.2276968954777194,0.0,0.019562803063450165
9,183.51557464262405,2.5196443461597653,397.77202865661513,6.584985192108048,28.83575335588639,17.727116644096043,0.3940042687235991,0.3847698118212388,0.248106871830357,0.3164383418257979,0.0,0.06471238659496627
